Project No,Total A1-A5w,Cost,GIA,Total Kg,A5atCO2,A1_A5_kgCO2e_msq,Storeys,Grid_X,Grid_Y,Bays_X,"Typology_CLT, Glulam and Steel Column Hybrid",Typology_Composite Cell Beams with Metal Decking,Typology_Composite Rolled Steel with Metal Decking,Typology_Non-Composite Rolled Steel with PCC Planks,Typology_One-Way Spanning RC,Typology_PT RC Flat Slab,Typology_Precast Hollowcore with In-situ RC Beams,Typology_RC Flat Slab,Typology_RC Rib Slab,Typology_Steel Frame with CLT Slabs,Typology_Two-way RC Slab,Building Use_Education,Building Use_Healthcare,Building Use_Office,Building Use_Residential,Has Basement_No,Has Basement_Yes,Has Transfer Deck_No,Has Transfer Deck_Yes
53,51118.56553814841,91863737.1703,231000.0,348290133.8746506,643.0461601923456,224.07624111835827,24,6,6,11.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
54,58031.78389747397,100213745.4749,231000.0,389056750.7771626,701.4962183240121,254.2566238779133,24,6,6,11.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
55,50414.35522818256,136990790.3383,231000.0,300399461.6042221,958.9355323679164,222.39519809762112,24,6,6,11.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
56,55098.92367274806,136640195.7718,231000.0,276576975.87567955,956.4813704027453,242.6640910958909,24,6,6,11.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
57,57683.83880388254,153783645.0079,231000.0,273650671.1119522,1076.4855150551905,254.3736983503798,24,6,6,11.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
58,42019.91633909421,127210552.5136,231000.0,217469392.9559306,890.4738675950111,185.7592649640226,24,6,6,11.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
59,40545.02841710984,126091121.7733,231000.0,222748424.3503173,882.6378524131334,179.34054662131155,24,6,6,11.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
62,14430.844111455805,21810554.5992,32400.0,82510985.9793612,152.67388219464632,450.1085800509398,30,10,10,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
63,14066.212241353389,29639789.1201,32400.0,62477859.002448514,207.4785238403539,440.5460112714118,30,10,10,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
64,15022.408892095376,33418047.058,32400.0,64227115.7966673,233.92632940613024,470.8745438735033,30,10,10,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
65,12262.305404523637,29534878.4676,32400.0,50390708.94750246,206.74414927350003,384.84720845052885,30,10,10,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
66,13498.57520928653,28914559.19,32400.0,62530978.12958544,202.4019143298451,422.86966430914737,30,10,10,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
67,65528.04753052102,203912842.5477,204750.0,182489574.2335608,1427.3898978335628,327.0106834107672,25,6,6,13.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
68,56351.21225230123,169951250.2616,204750.0,206916868.8668337,1189.6587518314489,281.02989501407905,25,6,6,13.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
69,10466.864062329723,15554834.7526,26400.0,69666397.73968743,108.8838432679047,400.59651157566776,19,6,6,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
70,8706.80831307105,15710073.1131,26400.0,60255274.94118806,109.97051179142566,333.9688948811543,19,6,6,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
71,7904.712023984796,15061065.0667,26400.0,55695598.31164772,105.42745546676888,303.4143742216502,19,6,6,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
72,8032.0339209418335,14509901.6164,26400.0,56066117.23306172,101.5693113146342,308.0910315248662,19,6,6,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
73,8475.712678884462,14450241.2167,26400.0,58514667.07117411,101.15168851717893,324.88122603794096,19,6,6,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
74,8986.54880190603,19902989.973,26400.0,54894128.33691762,139.3209298112011,345.6768837771679,19,6,6,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
75,7930.183508517822,17882055.3759,26400.0,45630915.7187105,125.17438763101582,305.1271930359408,19,6,6,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
76,8301.468220440489,19662512.5478,26400.0,45700694.21711869,137.63758783473943,319.6630987983041,19,6,6,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
77,6758.636757447491,18225436.8871,26400.0,39096235.16581654,127.57805820956943,260.8414702900401,19,6,6,10.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
78,6966.35903995722,20516607.6564,26400.0,42291462.052218966,143.61625359464975,269.3172459678739,19,6,6,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
79,40325.3619887378,52984630.5419,111132.0,229603647.1719601,370.89241379325847,366.1974445032129,18,9,9,7.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
80,39271.627274835606,63380049.8497,111132.0,229575617.77155948,443.66034894761583,357.37040297828906,18,9,9,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
81,36979.2263127628,52238898.1159,111132.0,180215573.2416933,365.67228681142944,336.0409117047675,18,9,9,7.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
82,31530.26585522959,48314098.5801,111132.0,181527286.63311356,338.1986900608997,286.76226960092947,18,9,9,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
83,32531.92691035624,76204173.5492,111132.0,148345243.29867685,533.4292148443932,297.53226906022235,18,9,9,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
